Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
1, 40000, 6, 1, 22747, 334916
2, 38000, 7, 0, 27590, 468428
3, 36100, 7, 0, 26378, 468032
4, 34295, 7, 0, 26755, 419220
5, 32580.2, 7, 0, 25217, 446143
6, 30951.2, 7, 0, 25321, 392262
7, 29403.7, 7, 0, 18756, 374976
8, 27933.5, 6, 1, 23029, 389151
9, 26536.8, 7, 0, 27536, 446468
10, 25210, 6, 1, 24500, 515824
11, 23949.5, 7, 0, 28361, 701898
12, 22752, 7, 0, 23546, 405240
13, 21614.4, 7, 0, 30306, 525600
14, 20533.7, 7, 0, 27360, 562848
15, 19507, 7, 0, 27503, 388476
16, 18531.6, 8, 0, 29706, 529788
17, 17605.1, 8, 0, 25591, 412488
18, 16724.8, 8, 0, 24095, 444774
19, 15888.6, 7, 1, 26670, 462840
20, 15094.1, 8, 0, 25680, 330132
21, 14339.4, 8, 0, 23617, 483546
22, 13622.5, 7, 1, 25438, 416944
23, 12941.3, 8, 0, 29655, 453650
24, 12294.3, 8, 0, 26071, 451164
25, 11679.6, 8, 0, 23008, 438684
26, 11095.6, 6, 2, 31050, 509781
27, 10540.8, 8, 0, 29267, 677677
28, 10013.8, 8, 0, 23715, 481555
29, 9513.08, 9, 0, 28905, 504400
30, 9037.42, 8, 1, 22411, 386240
31, 8585.55, 7, 2, 28972, 696004
32, 8156.27, 8, 1, 30357, 423099
33, 7748.46, 8, 1, 26673, 580800
34, 7361.04, 9, 0, 23236, 423114
35, 6992.98, 9, 0, 23360, 450924
36, 6643.34, 7, 2, 23173, 457064
37, 6311.17, 8, 1, 25276, 662112
38, 5995.61, 8, 1, 24839, 499317
39, 5695.83, 9, 0, 20667, 422892
40, 5411.04, 7, 2, 27701, 555696
41, 5140.49, 10, 0, 23661, 571975
42, 4883.46, 7, 3, 22946, 457520
43, 4639.29, 9, 1, 27759, 505749
44, 4407.32, 8, 2, 23332, 600015
45, 4186.96, 8, 2, 23334, 378840
46, 3977.61, 9, 1, 28747, 435372
47, 3778.73, 8, 2, 27011, 411264
48, 3589.79, 6, 4, 20012, 336579
49, 3410.3, 7, 3, 20875, 387090
50, 3239.79, 8, 2, 20082, 377420
51, 3077.8, 5, 5, 24074, 448875
52, 2923.91, 10, 1, 27502, 485745
53, 2777.71, 8, 3, 23643, 444612
54, 2638.83, 10, 1, 25785, 446215
55, 2506.89, 5, 6, 22285, 411600
56, 2381.54, 8, 3, 23855, 389322
57, 2262.47, 11, 0, 27714, 596841
58, 2149.34, 7, 4, 24103, 523770
59, 2041.87, 9, 2, 22925, 437262
60, 1939.78, 8, 3, 24033, 441902
61, 1842.79, 10, 2, 22624, 394263
62, 1750.65, 8, 4, 19608, 314592
63, 1663.12, 5, 7, 22163, 450696
64, 1579.96, 4, 8, 23228, 476700
65, 1500.97, 6, 6, 19162, 372744
66, 1425.92, 7, 5, 26264, 565134
67, 1354.62, 7, 5, 20705, 402287
68, 1286.89, 9, 3, 22840, 419920
69, 1222.55, 8, 4, 22295, 416955
70, 1161.42, 6, 7, 22557, 401360
71, 1103.35, 7, 6, 20145, 433784
72, 1048.18, 6, 7, 21361, 381888
73, 995.771, 8, 5, 22671, 569622
74, 945.983, 7, 6, 21723, 349842
75, 898.684, 8, 5, 23216, 425720
76, 853.749, 10, 3, 26259, 455322
77, 811.062, 7, 6, 28140, 399984
78, 770.509, 11, 3, 24016, 600624
79, 731.983, 6, 8, 21996, 360750
80, 695.384, 5, 9, 17982, 360180
81, 660.615, 7, 7, 17704, 359856
82, 627.584, 3, 11, 19674, 401968
83, 596.205, 5, 9, 23167, 539994
84, 566.395, 6, 8, 20393, 415002
85, 538.075, 3, 11, 20267, 302400
86, 511.171, 5, 10, 17603, 352800
87, 485.613, 2, 13, 20604, 372600
88, 461.332, 3, 12, 22790, 415237
89, 438.265, 9, 6, 20615, 358775
90, 416.352, 2, 13, 21087, 350714
91, 395.535, 6, 9, 18988, 420540
92, 375.758, 2, 13, 21169, 479364
93, 356.97, 10, 6, 17437, 490200
94, 339.121, 6, 10, 18597, 396200
95, 322.165, 6, 10, 18789, 389312
96, 306.057, 6, 10, 17307, 405790
97, 290.754, 3, 13, 16013, 357000
98, 276.217, 2, 14, 16599, 363906
99, 262.406, 5, 12, 16497, 358530
100, 249.285, 4, 13, 17705, 401698
101, 236.821, 4, 13, 15963, 314944
102, 224.98, 4, 13, 17014, 374463
103, 213.731, 1, 16, 16176, 336582
104, 203.045, 0, 17, 16176, 336582
105, 192.892, 2, 16, 16206, 330078
106, 183.248, 3, 15, 16123, 325200
107, 174.085, 1, 17, 16123, 325200
108, 165.381, 3, 15, 16123, 325200
109, 157.112, 1, 17, 16033, 289920
110, 149.256, 3, 15, 16188, 367836
111, 141.794, 1, 18, 15972, 269610
112, 134.704, 1, 18, 16058, 256360
113, 127.969, 2, 17, 15766, 292937
114, 121.57, 1, 18, 15766, 292937
115, 115.492, 1, 18, 15911, 282426
116, 109.717, 1, 19, 15406, 292937
117, 104.231, 4, 16, 15721, 292937
118, 99.0197, 2, 18, 15361, 292937
119, 94.0688, 0, 20, 15361, 292937
120, 89.3653, 0, 20, 15361, 292937
121, 84.8971, 2, 19, 15406, 292937
122, 80.6522, 1, 20, 15406, 292937
123, 76.6196, 1, 20, 15406, 292937
124, 72.7886, 1, 20, 15406, 292937
125, 69.1492, 2, 19, 15238, 283340
126, 65.6917, 1, 21, 15238, 283340
127, 62.4071, 0, 22, 15238, 283340
128, 59.2868, 0, 22, 15238, 283340
129, 56.3224, 0, 22, 15238, 283340
130, 53.5063, 2, 20, 15193, 283340
131, 50.831, 1, 22, 15238, 283340
132, 48.2895, 0, 23, 15238, 283340
133, 45.875, 1, 22, 15238, 283340
134, 43.5812, 2, 21, 15238, 283340
135, 41.4022, 0, 23, 15238, 283340
136, 39.3321, 0, 24, 15238, 283340
137, 37.3655, 0, 24, 15238, 283340
138, 35.4972, 2, 22, 15238, 283340
139, 33.7223, 1, 23, 15193, 283340
140, 32.0362, 1, 24, 15193, 283340
141, 30.4344, 2, 23, 15193, 283340
142, 28.9127, 1, 24, 15193, 283340
143, 27.467, 1, 24, 15193, 283340
144, 26.0937, 0, 26, 15193, 283340
145, 24.789, 2, 24, 15238, 283340
146, 23.5496, 1, 25, 15193, 283340
147, 22.3721, 1, 25, 15193, 283340
148, 21.2535, 1, 26, 15193, 283340
149, 20.1908, 0, 27, 15193, 283340
150, 19.1813, 0, 27, 15193, 283340
151, 18.2222, 0, 27, 15193, 283340
152, 17.3111, 0, 28, 15193, 283340
153, 16.4455, 0, 28, 15193, 283340
154, 15.6233, 1, 27, 15193, 283340
155, 14.8421, 0, 29, 15193, 283340
156, 14.1, 2, 27, 15238, 283340
157, 13.395, 0, 29, 15238, 283340
158, 12.7252, 0, 29, 15238, 283340
159, 12.089, 1, 29, 15238, 283340
160, 11.4845, 2, 28, 15238, 283340
161, 10.9103, 1, 29, 15238, 283340
162, 10.3648, 1, 30, 15193, 283340
163, 9.84655, 1, 30, 15193, 283340
164, 9.35422, 1, 30, 15193, 283340
165, 8.88651, 1, 30, 15193, 283340
166, 8.44218, 0, 32, 15193, 283340
167, 8.02008, 2, 30, 15193, 283340
168, 7.61907, 1, 31, 15193, 283340
169, 7.23812, 2, 31, 15193, 283340
170, 6.87621, 3, 30, 15193, 283340
171, 6.5324, 1, 32, 15193, 283340
172, 6.20578, 0, 34, 15193, 283340
173, 5.89549, 1, 33, 15193, 283340
174, 5.60072, 1, 33, 15193, 283340
175, 5.32068, 2, 33, 15193, 283340
176, 5.05465, 0, 35, 15193, 283340
177, 4.80192, 1, 34, 15193, 283340
178, 4.56182, 3, 33, 15193, 283340
179, 4.33373, 0, 36, 15193, 283340
180, 4.11704, 2, 34, 15193, 283340
181, 3.91119, 1, 36, 15193, 283340
182, 3.71563, 1, 36, 15193, 283340
183, 3.52985, 0, 38, 15193, 283340
184, 3.35336, 0, 38, 15193, 283340
185, 3.18569, 2, 36, 15193, 283340
186, 3.0264, 0, 39, 15193, 283340
187, 2.87508, 0, 39, 15193, 283340
188, 2.73133, 0, 39, 15193, 283340
189, 2.59476, 0, 40, 15193, 283340
190, 2.46503, 0, 40, 15193, 283340
191, 2.34177, 2, 39, 15193, 283340
192, 2.22469, 2, 39, 15193, 283340
193, 2.11345, 1, 40, 15193, 283340
194, 2.00778, 1, 41, 15193, 283340
195, 1.90739, 1, 41, 15193, 283340
196, 1.81202, 3, 40, 15193, 283340
197, 1.72142, 1, 42, 15193, 283340
198, 1.63535, 2, 42, 15193, 283340
199, 1.55358, 0, 44, 15193, 283340
200, 1.4759, 1, 43, 15193, 283340
201, 1.40211, 1, 44, 15193, 283340
202, 1.332, 2, 43, 15193, 283340
203, 1.2654, 2, 44, 15193, 283340
204, 1.20213, 0, 46, 15193, 283340
205, 1.14202, 1, 46, 15193, 283340
206, 1.08492, 1, 46, 15193, 283340
207, 1.03068, 0, 48, 15193, 283340
208, 0.979143, 0, 48, 15193, 283340
209, 0.930186, 1, 48, 15193, 283340
210, 0.883677, 3, 46, 15193, 283340
211, 0.839493, 1, 48, 15193, 283340
212, 0.797518, 0, 50, 15193, 283340
213, 0.757642, 0, 50, 15193, 283340
214, 0.71976, 3, 48, 15193, 283340
215, 0.683772, 1, 50, 15193, 283340
216, 0.649584, 5, 47, 15193, 283340
217, 0.617105, 2, 50, 15193, 283340
218, 0.586249, 1, 52, 15193, 283340
219, 0.556937, 2, 52, 15193, 283340
220, 0.52909, 1, 53, 15193, 283340
221, 0.502635, 1, 54, 15193, 283340
222, 0.477504, 1, 54, 15193, 283340
223, 0.453629, 2, 54, 15193, 283340
224, 0.430947, 2, 54, 15193, 283340
225, 0.4094, 0, 57, 15193, 283340
226, 0.38893, 0, 57, 15193, 283340
227, 0.369483, 0, 58, 15193, 283340
228, 0.351009, 2, 56, 15193, 283340
229, 0.333459, 2, 57, 15193, 283340
230, 0.316786, 2, 58, 15193, 283340
231, 0.300946, 1, 59, 15193, 283340
232, 0.285899, 1, 60, 15193, 283340
233, 0.271604, 2, 59, 15193, 283340
234, 0.258024, 4, 58, 15193, 283340
235, 0.245123, 2, 61, 15193, 283340
236, 0.232867, 2, 61, 15193, 283340
237, 0.221223, 2, 62, 15193, 283340
238, 0.210162, 1, 64, 15193, 283340
239, 0.199654, 3, 62, 15193, 283340
240, 0.189671, 1, 65, 15193, 283340
241, 0.180188, 0, 67, 15193, 283340
242, 0.171178, 0, 67, 15193, 283340
243, 0.162619, 0, 68, 15193, 283340
244, 0.154488, 4, 65, 15193, 283340
245, 0.146764, 4, 65, 15193, 283340
246, 0.139426, 4, 66, 15193, 283340
247, 0.132455, 5, 66, 15193, 283340
248, 0.125832, 2, 69, 15193, 283340
249, 0.11954, 0, 72, 15193, 283340
250, 0.113563, 1, 72, 15193, 283340
251, 0.107885, 1, 72, 15193, 283340
252, 0.102491, 1, 73, 15193, 283340
253, 0.0973663, 1, 74, 15193, 283340
254, 0.092498, 2, 74, 15193, 283340
255, 0.0878731, 0, 76, 15193, 283340
256, 0.0834794, 3, 74, 15193, 283340
257, 0.0793054, 3, 75, 15193, 283340
258, 0.0753402, 2, 77, 15193, 283340
259, 0.0715732, 3, 76, 15193, 283340
260, 0.0679945, 1, 79, 15193, 283340
261, 0.0645948, 1, 80, 15193, 283340
262, 0.061365, 3, 79, 15193, 283340
263, 0.0582968, 1, 82, 15193, 283340
264, 0.0553819, 4, 79, 15193, 283340
265, 0.0526128, 4, 80, 15193, 283340
266, 0.0499822, 3, 82, 15193, 283340
267, 0.0474831, 1, 85, 15193, 283340
268, 0.0451089, 5, 82, 15193, 283340
269, 0.0428535, 1, 87, 15193, 283340
270, 0.0407108, 4, 85, 15193, 283340
271, 0.0386753, 1, 88, 15193, 283340
272, 0.0367415, 2, 88, 15193, 283340
