Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
1, 40000, 7, 0, 66913, 499065
2, 38000, 7, 0, 71487, 534640
3, 36100, 7, 0, 69927, 605068
4, 34295, 7, 0, 62854, 440226
5, 32580.2, 7, 0, 60705, 462624
6, 30951.2, 6, 1, 60424, 494076
7, 29403.7, 6, 1, 69495, 543402
8, 27933.5, 6, 1, 65128, 545708
9, 26536.8, 7, 0, 73210, 596781
10, 25210, 6, 1, 64211, 601772
11, 23949.5, 6, 1, 76432, 705888
12, 22752, 7, 0, 68176, 605068
13, 21614.4, 7, 0, 71381, 569296
14, 20533.7, 5, 2, 84651, 821424
15, 19507, 7, 0, 81837, 772561
16, 18531.6, 8, 0, 70938, 549442
17, 17605.1, 7, 1, 63300, 495444
18, 16724.8, 4, 4, 64214, 571200
19, 15888.6, 8, 0, 60733, 439815
20, 15094.1, 5, 3, 62620, 496005
21, 14339.4, 8, 0, 62464, 508528
22, 13622.5, 8, 0, 63178, 576912
23, 12941.3, 8, 0, 74222, 632814
24, 12294.3, 8, 0, 69462, 539530
25, 11679.6, 8, 0, 77801, 573645
26, 11095.6, 8, 0, 74998, 533134
27, 10540.8, 8, 0, 67760, 526658
28, 10013.8, 8, 0, 73098, 515040
29, 9513.08, 9, 0, 68549, 453398
30, 9037.42, 8, 1, 76326, 581810
31, 8585.55, 6, 3, 66614, 593670
32, 8156.27, 7, 2, 63722, 625665
33, 7748.46, 9, 0, 62476, 466980
34, 7361.04, 9, 0, 73558, 688086
35, 6992.98, 8, 1, 69748, 627760
36, 6643.34, 7, 2, 76039, 620840
37, 6311.17, 7, 2, 78362, 661507
38, 5995.61, 6, 3, 70203, 592740
39, 5695.83, 8, 1, 61815, 601188
40, 5411.04, 7, 2, 61902, 520248
41, 5140.49, 7, 3, 68892, 551150
42, 4883.46, 7, 3, 62955, 492174
43, 4639.29, 7, 3, 59630, 482125
44, 4407.32, 6, 4, 67459, 534576
45, 4186.96, 7, 3, 71736, 538002
46, 3977.61, 6, 4, 70387, 541926
47, 3778.73, 9, 1, 65865, 475475
48, 3589.79, 7, 3, 60870, 396630
49, 3410.3, 4, 6, 64636, 437720
50, 3239.79, 5, 5, 63466, 425656
51, 3077.8, 7, 3, 64881, 446682
52, 2923.91, 10, 1, 64440, 420576
53, 2777.71, 5, 6, 62262, 412965
54, 2638.83, 7, 4, 58160, 372064
55, 2506.89, 1, 10, 58170, 374480
56, 2381.54, 3, 8, 62563, 409266
57, 2262.47, 4, 7, 61052, 432003
58, 2149.34, 5, 6, 68187, 505296
59, 2041.87, 9, 2, 65980, 460850
60, 1939.78, 9, 2, 69470, 450342
61, 1842.79, 8, 4, 66004, 418066
62, 1750.65, 5, 7, 61992, 455625
63, 1663.12, 2, 10, 62014, 460375
64, 1579.96, 5, 7, 60579, 481868
65, 1500.97, 9, 3, 69424, 477470
66, 1425.92, 8, 4, 63198, 484956
67, 1354.62, 7, 5, 63793, 508352
68, 1286.89, 8, 4, 61980, 496230
69, 1222.55, 7, 5, 62671, 494224
70, 1161.42, 8, 5, 61985, 458208
71, 1103.35, 5, 8, 60299, 426816
72, 1048.18, 6, 7, 59352, 426384
73, 995.771, 8, 5, 63096, 437668
74, 945.983, 5, 8, 57135, 436712
75, 898.684, 8, 5, 58377, 426880
76, 853.749, 6, 7, 61262, 433622
77, 811.062, 7, 6, 60507, 419615
78, 770.509, 8, 6, 61943, 454878
79, 731.983, 11, 3, 62259, 356832
80, 695.384, 4, 10, 61186, 362880
81, 660.615, 2, 12, 61211, 368820
82, 627.584, 6, 8, 60239, 359490
83, 596.205, 6, 8, 58470, 346798
84, 566.395, 2, 12, 58470, 346798
85, 538.075, 1, 13, 58804, 346798
86, 511.171, 5, 10, 61072, 346500
87, 485.613, 3, 12, 57489, 348682
88, 461.332, 6, 9, 55283, 333788
89, 438.265, 3, 12, 54381, 333788
90, 416.352, 4, 11, 54354, 350987
91, 395.535, 5, 10, 54543, 347293
92, 375.758, 4, 11, 54173, 335699
93, 356.97, 3, 13, 55350, 335699
94, 339.121, 3, 13, 48748, 317520
95, 322.165, 3, 13, 49593, 326700
96, 306.057, 4, 12, 51098, 319599
97, 290.754, 3, 13, 52357, 337554
98, 276.217, 2, 14, 54568, 339093
99, 262.406, 1, 16, 54299, 339093
100, 249.285, 3, 14, 55094, 333805
101, 236.821, 7, 10, 56892, 329688
102, 224.98, 1, 16, 52254, 306043
103, 213.731, 1, 16, 52254, 306043
104, 203.045, 0, 17, 52254, 306043
105, 192.892, 3, 15, 51945, 306043
106, 183.248, 3, 15, 48977, 308826
107, 174.085, 1, 17, 51080, 308826
108, 165.381, 3, 15, 50652, 308826
109, 157.112, 2, 16, 50652, 308826
110, 149.256, 1, 17, 50754, 307989
111, 141.794, 2, 17, 50648, 297510
112, 134.704, 0, 19, 50648, 297510
113, 127.969, 1, 18, 49338, 293535
114, 121.57, 1, 18, 50712, 277524
115, 115.492, 0, 19, 50712, 277524
116, 109.717, 6, 14, 51081, 277104
117, 104.231, 4, 16, 51149, 269928
118, 99.0197, 1, 19, 51149, 269928
119, 94.0688, 0, 20, 51149, 269928
120, 89.3653, 2, 18, 51149, 269928
121, 84.8971, 2, 19, 51479, 266616
122, 80.6522, 2, 19, 50955, 266616
123, 76.6196, 1, 20, 50955, 266616
124, 72.7886, 2, 19, 50955, 266616
125, 69.1492, 2, 19, 50972, 266616
126, 65.6917, 0, 22, 50972, 266616
127, 62.4071, 1, 21, 50972, 266616
128, 59.2868, 1, 21, 50972, 266616
129, 56.3224, 2, 20, 50972, 266616
130, 53.5063, 1, 21, 50972, 266616
131, 50.831, 1, 22, 50972, 266616
132, 48.2895, 1, 22, 50972, 266616
133, 45.875, 2, 21, 50842, 266616
134, 43.5812, 1, 22, 50477, 267168
135, 41.4022, 1, 22, 47612, 263780
136, 39.3321, 1, 23, 47612, 263780
137, 37.3655, 1, 23, 47612, 263780
138, 35.4972, 2, 22, 48060, 261844
139, 33.7223, 2, 22, 48190, 261844
140, 32.0362, 3, 22, 47880, 261844
141, 30.4344, 4, 21, 47707, 261844
142, 28.9127, 0, 25, 47707, 261844
143, 27.467, 0, 25, 47707, 261844
144, 26.0937, 2, 24, 47763, 261844
145, 24.789, 0, 26, 47763, 261844
146, 23.5496, 1, 25, 47763, 261844
147, 22.3721, 2, 24, 47763, 261844
148, 21.2535, 1, 26, 47763, 261844
149, 20.1908, 0, 27, 47763, 261844
150, 19.1813, 3, 24, 47763, 261844
151, 18.2222, 0, 27, 47763, 261844
152, 17.3111, 2, 26, 47793, 261844
153, 16.4455, 0, 28, 47793, 261844
154, 15.6233, 1, 27, 47793, 261844
155, 14.8421, 2, 27, 47858, 260221
156, 14.1, 2, 27, 47858, 260221
157, 13.395, 1, 28, 48911, 258778
158, 12.7252, 1, 28, 48911, 258778
159, 12.089, 4, 26, 48911, 258778
160, 11.4845, 2, 28, 48707, 254930
161, 10.9103, 0, 30, 48707, 254930
162, 10.3648, 1, 30, 48648, 253487
163, 9.84655, 4, 27, 47936, 249630
164, 9.35422, 1, 30, 47936, 249630
165, 8.88651, 2, 29, 47840, 249630
166, 8.44218, 3, 29, 47840, 249630
167, 8.02008, 3, 29, 49693, 247572
168, 7.61907, 0, 32, 49693, 247572
169, 7.23812, 2, 31, 49719, 247572
170, 6.87621, 1, 32, 49719, 247572
171, 6.5324, 2, 31, 49719, 247572
172, 6.20578, 7, 27, 49443, 247572
173, 5.89549, 1, 33, 49443, 247572
174, 5.60072, 3, 31, 48068, 247043
175, 5.32068, 1, 34, 48068, 247043
176, 5.05465, 1, 34, 48068, 247043
177, 4.80192, 2, 33, 48068, 247043
178, 4.56182, 5, 31, 48068, 247043
179, 4.33373, 1, 35, 48068, 247043
180, 4.11704, 1, 35, 48164, 247043
181, 3.91119, 3, 34, 48164, 247043
182, 3.71563, 0, 37, 48164, 247043
183, 3.52985, 1, 37, 48164, 247043
184, 3.35336, 1, 37, 48164, 247043
185, 3.18569, 2, 36, 48164, 247043
186, 3.0264, 1, 38, 48164, 247043
187, 2.87508, 1, 38, 48164, 247043
188, 2.73133, 2, 37, 48164, 247043
189, 2.59476, 1, 39, 48164, 247043
190, 2.46503, 2, 38, 48164, 247043
191, 2.34177, 0, 41, 48164, 247043
192, 2.22469, 2, 39, 48161, 247043
193, 2.11345, 1, 40, 48135, 247043
194, 2.00778, 3, 39, 48135, 247043
195, 1.90739, 2, 40, 48135, 247043
196, 1.81202, 2, 41, 48135, 247043
197, 1.72142, 3, 40, 48135, 247043
198, 1.63535, 0, 44, 48135, 247043
199, 1.55358, 3, 41, 48135, 247043
200, 1.4759, 1, 43, 48135, 247043
201, 1.40211, 2, 43, 48135, 247043
202, 1.332, 1, 44, 48135, 247043
203, 1.2654, 5, 41, 48076, 247043
204, 1.20213, 1, 45, 47436, 247510
205, 1.14202, 1, 46, 47406, 247510
206, 1.08492, 2, 45, 47406, 247510
207, 1.03068, 0, 48, 47406, 247510
208, 0.979143, 1, 47, 47406, 247510
209, 0.930186, 4, 45, 47412, 247510
210, 0.883677, 2, 47, 47412, 247510
211, 0.839493, 2, 47, 47412, 247510
212, 0.797518, 1, 49, 47412, 247510
213, 0.757642, 2, 48, 47412, 247510
214, 0.71976, 1, 50, 47454, 246576
215, 0.683772, 2, 49, 47426, 246576
216, 0.649584, 2, 50, 47426, 246576
217, 0.617105, 1, 51, 47426, 246576
218, 0.586249, 4, 49, 47426, 246576
219, 0.556937, 1, 53, 47426, 246576
220, 0.52909, 2, 52, 47426, 246576
221, 0.502635, 2, 53, 47426, 246576
222, 0.477504, 1, 54, 46715, 247043
223, 0.453629, 2, 54, 46715, 247043
224, 0.430947, 1, 55, 46715, 247043
225, 0.4094, 2, 55, 46715, 247043
226, 0.38893, 1, 56, 46715, 247043
227, 0.369483, 6, 52, 46715, 247043
228, 0.351009, 3, 55, 46715, 247043
229, 0.333459, 2, 57, 46672, 247043
230, 0.316786, 0, 60, 46672, 247043
231, 0.300946, 3, 57, 46672, 247043
232, 0.285899, 4, 57, 46672, 247043
233, 0.271604, 3, 58, 46672, 247043
234, 0.258024, 3, 59, 46672, 247043
235, 0.245123, 7, 56, 46672, 247043
236, 0.232867, 1, 62, 46672, 247043
237, 0.221223, 4, 60, 46672, 247043
238, 0.210162, 0, 65, 46672, 247043
239, 0.199654, 3, 62, 46672, 247043
240, 0.189671, 6, 60, 46672, 247043
241, 0.180188, 1, 66, 46672, 247043
242, 0.171178, 4, 63, 46127, 247043
243, 0.162619, 0, 68, 46127, 247043
244, 0.154488, 2, 67, 46127, 247043
245, 0.146764, 2, 67, 46127, 247043
246, 0.139426, 2, 68, 46127, 247043
247, 0.132455, 2, 69, 46127, 247043
248, 0.125832, 1, 70, 46111, 247043
249, 0.11954, 1, 71, 46111, 247043
250, 0.113563, 1, 72, 46111, 247043
251, 0.107885, 3, 70, 46111, 247043
252, 0.102491, 1, 73, 46111, 247043
253, 0.0973663, 3, 72, 46111, 247043
254, 0.092498, 3, 73, 46111, 247043
255, 0.0878731, 2, 74, 46111, 247043
256, 0.0834794, 0, 77, 46111, 247043
257, 0.0793054, 4, 74, 46111, 247043
258, 0.0753402, 2, 77, 46109, 247043
259, 0.0715732, 2, 77, 46104, 247043
260, 0.0679945, 2, 78, 46070, 247043
261, 0.0645948, 2, 79, 46070, 247043
262, 0.061365, 2, 80, 46070, 247043
263, 0.0582968, 2, 81, 46070, 247043
264, 0.0553819, 2, 81, 46070, 247043
265, 0.0526128, 4, 80, 44279, 246514
266, 0.0499822, 4, 81, 44279, 246514
267, 0.0474831, 3, 83, 43302, 246514
268, 0.0451089, 4, 83, 43302, 246514
269, 0.0428535, 3, 85, 43287, 246514
270, 0.0407108, 1, 88, 43287, 246514
271, 0.0386753, 2, 87, 43867, 243718
272, 0.0367415, 6, 84, 43867, 243718
273, 0.0349044, 3, 88, 43041, 240922
274, 0.0331592, 5, 87, 43041, 240922
275, 0.0315013, 2, 91, 42499, 239524
276, 0.0299262, 5, 89, 42246, 239524
277, 0.0284299, 3, 92, 42103, 239524
278, 0.0270084, 4, 92, 42103, 239524
279, 0.025658, 2, 95, 42103, 239524
280, 0.0243751, 1, 97, 42103, 239524
281, 0.0231563, 2, 97, 42103, 239524
282, 0.0219985, 3, 97, 42103, 239524
283, 0.0208986, 7, 94, 41995, 239524
284, 0.0198536, 4, 98, 41995, 239524
285, 0.018861, 2, 101, 41995, 239524
286, 0.0179179, 11, 93, 41995, 239524
287, 0.017022, 0, 105, 41995, 239524
288, 0.0161709, 5, 101, 41995, 239524
289, 0.0153624, 2, 105, 41995, 239524
290, 0.0145943, 1, 107, 41995, 239524
291, 0.0138645, 3, 106, 41995, 239524
292, 0.0131713, 5, 105, 41995, 239524
293, 0.0125127, 1, 110, 41995, 239524
