Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
1, 40000, 7, 0, 608186, 628824
2, 38000, 7, 0, 610091, 662596
3, 36100, 7, 0, 580793, 582842
4, 34295, 7, 0, 632339, 646560
5, 32580.2, 6, 1, 655755, 697246
6, 30951.2, 7, 0, 665072, 704364
7, 29403.7, 7, 0, 638344, 666444
8, 27933.5, 7, 0, 616835, 633660
9, 26536.8, 7, 0, 610404, 649257
10, 25210, 7, 0, 641162, 699502
11, 23949.5, 7, 0, 612759, 630828
12, 22752, 7, 0, 639063, 688740
13, 21614.4, 5, 2, 639952, 698472
14, 20533.7, 7, 0, 631001, 683568
15, 19507, 6, 1, 600073, 627553
16, 18531.6, 6, 2, 596172, 602127
17, 17605.1, 8, 0, 588651, 555770
18, 16724.8, 7, 1, 608234, 577519
19, 15888.6, 8, 0, 610605, 573696
20, 15094.1, 7, 1, 601670, 557904
21, 14339.4, 8, 0, 599625, 592576
22, 13622.5, 7, 1, 610617, 600504
23, 12941.3, 5, 3, 627432, 652668
24, 12294.3, 8, 0, 614191, 586272
25, 11679.6, 8, 0, 594156, 551602
26, 11095.6, 7, 1, 601255, 557993
27, 10540.8, 6, 2, 600587, 571472
28, 10013.8, 8, 0, 624784, 608400
29, 9513.08, 9, 0, 594785, 576708
30, 9037.42, 8, 1, 577474, 556512
31, 8585.55, 9, 0, 568912, 551300
32, 8156.27, 8, 1, 563686, 554070
33, 7748.46, 9, 0, 571562, 558516
34, 7361.04, 7, 2, 563395, 523362
35, 6992.98, 9, 0, 542401, 486915
36, 6643.34, 7, 2, 539049, 505325
37, 6311.17, 8, 1, 544753, 506928
38, 5995.61, 8, 1, 539717, 483483
39, 5695.83, 4, 5, 563169, 525850
40, 5411.04, 6, 3, 580174, 540936
41, 5140.49, 8, 2, 585576, 545445
42, 4883.46, 5, 5, 590453, 529975
43, 4639.29, 7, 3, 569920, 532756
44, 4407.32, 8, 2, 553701, 525538
45, 4186.96, 9, 1, 563734, 512325
46, 3977.61, 3, 7, 577476, 531114
47, 3778.73, 6, 4, 584164, 538984
48, 3589.79, 9, 1, 580541, 545040
49, 3410.3, 10, 0, 561512, 489424
50, 3239.79, 8, 2, 549497, 481176
51, 3077.8, 8, 2, 565129, 493374
52, 2923.91, 8, 3, 546362, 475138
53, 2777.71, 8, 3, 529832, 470470
54, 2638.83, 7, 4, 527048, 462536
55, 2506.89, 6, 5, 527607, 478133
56, 2381.54, 7, 4, 536489, 462956
57, 2262.47, 7, 4, 525695, 464508
58, 2149.34, 8, 3, 515762, 462000
59, 2041.87, 10, 1, 523932, 479035
60, 1939.78, 9, 2, 538848, 473598
61, 1842.79, 9, 3, 529779, 487696
62, 1750.65, 4, 8, 528210, 507960
63, 1663.12, 7, 5, 529174, 508634
64, 1579.96, 7, 5, 546797, 522060
65, 1500.97, 4, 8, 548976, 527960
66, 1425.92, 3, 9, 546930, 530640
67, 1354.62, 12, 0, 551184, 491392
68, 1286.89, 10, 2, 527754, 466302
69, 1222.55, 7, 5, 508999, 462737
70, 1161.42, 6, 7, 514459, 465674
71, 1103.35, 10, 3, 509023, 442161
72, 1048.18, 5, 8, 508119, 442161
73, 995.771, 10, 3, 507619, 417890
74, 945.983, 7, 6, 510831, 419902
75, 898.684, 8, 5, 501924, 416475
76, 853.749, 6, 7, 512586, 405981
77, 811.062, 4, 9, 513495, 405981
78, 770.509, 4, 10, 501983, 410984
79, 731.983, 9, 5, 485288, 408825
80, 695.384, 4, 10, 483887, 408825
81, 660.615, 8, 6, 498108, 400698
82, 627.584, 5, 9, 500483, 402682
83, 596.205, 4, 10, 505220, 405876
84, 566.395, 5, 9, 517159, 397377
85, 538.075, 4, 10, 506370, 388800
86, 511.171, 4, 11, 502542, 386484
87, 485.613, 4, 11, 501974, 387768
88, 461.332, 4, 11, 496153, 387768
89, 438.265, 3, 12, 495360, 386560
90, 416.352, 7, 8, 489407, 374348
91, 395.535, 2, 13, 490374, 384375
92, 375.758, 0, 15, 490374, 384375
93, 356.97, 7, 9, 490906, 378708
94, 339.121, 5, 11, 482094, 378708
95, 322.165, 6, 10, 483506, 373065
96, 306.057, 2, 14, 480473, 378144
97, 290.754, 2, 14, 480357, 373776
98, 276.217, 7, 9, 484675, 379431
99, 262.406, 3, 14, 487332, 375768
100, 249.285, 3, 14, 483268, 372091
101, 236.821, 5, 12, 486678, 367227
102, 224.98, 4, 13, 482390, 367227
103, 213.731, 3, 14, 481434, 366624
104, 203.045, 4, 13, 480187, 366624
105, 192.892, 4, 14, 483096, 365349
106, 183.248, 8, 10, 478566, 359905
107, 174.085, 3, 15, 481409, 359271
108, 165.381, 5, 13, 479621, 355385
109, 157.112, 7, 11, 479974, 349839
110, 149.256, 6, 12, 485276, 346392
111, 141.794, 3, 16, 485058, 347004
112, 134.704, 4, 15, 481615, 346665
113, 127.969, 3, 16, 480783, 346665
114, 121.57, 3, 16, 477215, 347811
115, 115.492, 3, 16, 472365, 349530
116, 109.717, 4, 16, 475806, 347076
117, 104.231, 5, 15, 472243, 342100
118, 99.0197, 4, 16, 469986, 340518
119, 94.0688, 6, 14, 463936, 338184
120, 89.3653, 2, 18, 462601, 338184
121, 84.8971, 2, 19, 459945, 338733
122, 80.6522, 2, 19, 458842, 338733
123, 76.6196, 2, 19, 458221, 338733
124, 72.7886, 4, 17, 458241, 333060
125, 69.1492, 1, 20, 457962, 333060
126, 65.6917, 3, 19, 457814, 333060
127, 62.4071, 2, 20, 457778, 333060
128, 59.2868, 5, 17, 458922, 331422
129, 56.3224, 4, 18, 458197, 331650
130, 53.5063, 8, 14, 458947, 328992
131, 50.831, 6, 17, 460756, 329180
132, 48.2895, 6, 17, 461878, 328635
133, 45.875, 3, 20, 464772, 323939
134, 43.5812, 5, 18, 463546, 320860
135, 41.4022, 3, 20, 462014, 322080
136, 39.3321, 3, 21, 455518, 323400
137, 37.3655, 3, 21, 452172, 323400
138, 35.4972, 3, 21, 447140, 323400
139, 33.7223, 1, 23, 446829, 323400
140, 32.0362, 3, 22, 446847, 320164
141, 30.4344, 6, 19, 454053, 316938
142, 28.9127, 10, 15, 450760, 303023
143, 27.467, 11, 14, 445629, 300819
144, 26.0937, 1, 25, 445634, 300819
145, 24.789, 3, 23, 443547, 300819
146, 23.5496, 3, 23, 445296, 295089
147, 22.3721, 1, 25, 445252, 295089
148, 21.2535, 3, 24, 443185, 293085
149, 20.1908, 6, 21, 437629, 293405
150, 19.1813, 1, 26, 437629, 293405
151, 18.2222, 1, 26, 437629, 293405
152, 17.3111, 2, 26, 435771, 292395
153, 16.4455, 2, 26, 434189, 292395
154, 15.6233, 3, 25, 435875, 290500
155, 14.8421, 3, 26, 435342, 290500
156, 14.1, 1, 28, 435025, 290500
157, 13.395, 2, 27, 433014, 291081
158, 12.7252, 2, 27, 432493, 290500
159, 12.089, 1, 29, 432493, 290500
